filename,abs_path,relative_path,code_content,has_error_label,label,error_description
wrongvariablenames_solution.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/wrongvariablenames_solution.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Coding Mistakes/wrongvariablenames_solution.cpp,"// write your code here
#include ""Arduino.h""
#include ""SMotor2.h""

SMotor2 motor(2);

int motorSpeed = 500;           // Speed of motor rotation
int angleClockwise = -60;       // Angle to rotate clockwise
int angleCounterClockwise = 60; // Angle to rotate counter-clockwise
int ledPin = 2;                 // Pin number for LED output
int delayTime = 500;            // Delay time in milliseconds

void setup(){
    pinMode(ledPin, OUTPUT);
    motor.begin();
}

void loop(){
    motor.move_degrees(motorSpeed, angleClockwise);
    digitalWrite(ledPin, HIGH);
    delay(delayTime);
    digitalWrite(ledPin, LOW);
    delay(delayTime);

    motor.move_degrees(motorSpeed, angleCounterClockwise);
    digitalWrite(ledPin, HIGH);
    delay(delayTime);
    digitalWrite(ledPin, LOW);
    delay(delayTime);
}
",False,no error,No labeled error
CSbeginmissing.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/ColorSensor/CSbeginmissing.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/ColorSensor/CSbeginmissing.cpp,"#include ""ZebraColour.h""

// Create color sensor on port 1
ZebraColour colorSensor(1);

void setup() {
  Serial.begin(115200);
  Serial.println(""Initializing color sensor..."");
  Serial.println(""Sensor ready!"");
  delay(1000);
}

void loop() {
  // Get full color data
  ColourData colorData;
  colorSensor.getFullColourData(colorData);

  // Print detected color
  Serial.print(""Detected Color: "");
  Serial.println(colorSensor.getColourName(colorData.colorID));

  // Print RGB values
  Serial.print(""RGB: ("");
  Serial.print(colorData.r);
  Serial.print("", "");
  Serial.print(colorData.g);
  Serial.print("", "");
  Serial.print(colorData.b);
  Serial.println("")"");
}
",False,no error,No labeled error
CSbeginmissing_Solution.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/ColorSensor/CSbeginmissing_Solution.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/ColorSensor/CSbeginmissing_Solution.cpp,"#include ""ZebraColour.h""

// Create color sensor on port 1
ZebraColour colorSensor(1);

void setup() {
  Serial.begin(115200);
  Serial.println(""Initializing color sensor..."");
  colorSensor.begin();
  Serial.println(""Sensor ready!"");
  delay(1000);
}

void loop() {
  // Get full color data
  ColourData colorData;
  colorSensor.getFullColourData(colorData);

  // Print detected color
  Serial.print(""Detected Color: "");
  Serial.println(colorSensor.getColourName(colorData.colorID));

  // Print RGB values
  Serial.print(""RGB: ("");
  Serial.print(colorData.r);
  Serial.print("", "");
  Serial.print(colorData.g);
  Serial.print("", "");
  Serial.print(colorData.b);
  Serial.println("")"");
}
",False,no error,No labeled error
Color_wrong_color_constant.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/ColorSensor/Color_wrong_color_constant.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/ColorSensor/Color_wrong_color_constant.cpp,"#include <Arduino.h>
#include <ZebraColour.h>

ZebraColour sensor(3);
ColourData data;
void setup() { Wire.begin(); sensor.begin(); }
void loop() {
  sensor.getFullColourData(data);
  if(data.colorID == 4) {} 
}
",True,colorsensor error,Color wrong color constant error
NoDelayafterInitialisation.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/ColorSensor/NoDelayafterInitialisation.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/ColorSensor/NoDelayafterInitialisation.cpp,"#include ""ZebraColour.h""

// Create color sensor on port 1
ZebraColour colorSensor(1);

void setup() {
  Serial.begin(115200);
  Serial.println(""Initializing color sensor..."");
  colorSensor.begin();
  Serial.println(""Sensor ready!"");
}

void loop() {
  // Get full color data
  ColourData colorData;
  colorSensor.getFullColourData(colorData);

  // Print detected color
  Serial.print(""Detected Color: "");
  Serial.println(colorSensor.getColourName(colorData.colorID));

  // Print RGB values
  Serial.print(""RGB: ("");
  Serial.print(colorData.r);
  Serial.print("", "");
  Serial.print(colorData.g);
  Serial.print("", "");
  Serial.print(colorData.b);
  Serial.println("")"");
}
",False,no error,No labeled error
Solution to all .cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/ColorSensor/Solution to all .cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/ColorSensor/Solution to all .cpp,"#include ""ZebraColour.h""

// Create color sensor on port 1
ZebraColour colorSensor(1);

void setup() {
  Serial.begin(115200);
  Serial.println(""Initializing color sensor..."");
  colorSensor.begin();
  Serial.println(""Sensor ready!"");
  delay(1000);
}

void loop() {
  // Get full color data
  ColourData colorData;
  colorSensor.getFullColourData(colorData);

  // Print detected color
  Serial.print(""Detected Color: "");
  Serial.println(colorSensor.getColourName(colorData.colorID));

  // Print RGB values
  Serial.print(""RGB: ("");
  Serial.print(colorData.r);
  Serial.print("", "");
  Serial.print(colorData.g);
  Serial.print("", "");
  Serial.print(colorData.b);
  Serial.println("")"");
}
",False,no error,No labeled error
color_no_variables.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/ColorSensor/color_no_variables.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/ColorSensor/color_no_variables.cpp,"#include <Arduino.h>
#include ""ZebraColour.h""

ZebraColour sensor(3);
void setup() {
  Wire.begin();
  sensor.begin();
}
void loop() {
  ColourData data;
  sensor.getFullColourData(data); 
}
",True,colorsensor error,color no variables error
usingWrongVariable.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/ColorSensor/usingWrongVariable.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/ColorSensor/usingWrongVariable.cpp,"#include ""ZebraColour.h""

// Create color sensor on port 1
ZebraColour colorSensor(1);

void setup() {
  Serial.begin(115200);
  Serial.println(""Initializing color sensor..."");
  colorSensor.begin();
  Serial.println(""Sensor ready!"");
}

void loop() {
  // Get full color data
  ColourData colorData;
  colorSensor.getFullColourData(colorData);

  // Print detected color
  Serial.print(""Detected Color: "");
  Serial.println(colorSensor.getColourName(colorData.colorID));

  // Print RGB values
  Serial.print(""RGB: ("");
  Serial.print(colorData.h);
  Serial.print("", "");
  Serial.print(colorData.g);
  Serial.print("", "");
  Serial.print(colorData.v);
  Serial.println("")"");
}
",False,no error,No labeled error
MotorDegreeWithGyro.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/DCMotor/MotorDegreeWithGyro.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/DCMotor/MotorDegreeWithGyro.cpp,"// Note: partial code shown — see full context in corresponding image
#include <Arduino.h>
#include <ZebraGyro.h>
#include ""SMotor2.h""

ZebraGyro gyro(7, 2);  // Port 7, interrupt pin 2
SMotor2 motor(2);

void setup() {
    Serial.begin(115200);
    delay(2000);
    Serial.println(""Starting ZebraGyro..."");
    gyro.begin();
    motor.begin();
}

void loop() {
    gyro.update();
    Serial.print(""Yaw: "");
    Serial.println(gyro.getYaw());
    while (gyro.getYaw()<90)
    {
        motor.move_degrees(200,50);
    }
    motor.stop_motor();
    delay(500);
    gyro.resetYaw();
}
",False,no error,No labeled error
MotorDegreeWithGyro_solution.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/DCMotor/MotorDegreeWithGyro_solution.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/DCMotor/MotorDegreeWithGyro_solution.cpp,"// Note: partial code shown — see full context in corresponding image
#include <Arduino.h>
#include <ZebraGyro.h>
#include ""SMotor2.h""
#include ""ZebraServo.h""

ZebraGyro gyro(7, 2);  // Port 7, interrupt pin 2
SMotor2 motor(2);
ZebraServo servo(1);

void setup() {
    Serial.begin(115200);
    delay(2000);
    Serial.println(""Starting ZebraGyro..."");
    gyro.begin();
    motor.begin();
    servo.begin();
}

void loop() {
    gyro.update();
    Serial.print(""Yaw: "");
    Serial.println(gyro.getYaw());
    servo.run_angles(90);
    while (gyro.getYaw()<90)
    {
        gyro.update();
        servo.run_angles(45);
        motor.run_motor(40);
    }
    motor.stop_motor();
    delay(500);
    gyro.resetYaw();
}
",False,no error,No labeled error
Motor_begin_missing.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/DCMotor/Motor_begin_missing.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/DCMotor/Motor_begin_missing.cpp,"#include <Arduino.h>
#include ""SMotorPair.h""

SMotorPair motors(1, 2);
void setup() {
 
  motors.run(0, 50);
}
void loop() {

}
",True,dcmotor error,Motor begin missing error
Motor_begin_multiple.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/DCMotor/Motor_begin_multiple.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/DCMotor/Motor_begin_multiple.cpp,"#include <Arduino.h>
#include <SMotorPair.h>

SMotorPair motors(1, 2);
void setup() {
  motors.begin();
  motors.begin(); 
  motors.run(0, 50);
}
void loop() {}
",True,dcmotor error,Motor begin multiple error
Motor_both_same_port.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/DCMotor/Motor_both_same_port.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/DCMotor/Motor_both_same_port.cpp,"#include <Arduino.h>
#include ""SMotorPair.h""

SMotorPair motors(0, 0); 
void setup() {
  motors.begin();
  motors.run(0, 50);
}
void loop() {}
",True,dcmotor error,Motor both same port error
Motor_constantly_restarting.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/DCMotor/Motor_constantly_restarting.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/DCMotor/Motor_constantly_restarting.cpp,"#include <Arduino.h>
#include ""SMotorPair.h""

SMotorPair motors(1, 2);
void setup() { motors.begin(); }
void loop() {
  motors.run(0, 50); // Constantly restarting!
}
",True,dcmotor error,Motor constantly restarting error
Motor_huge_degree_values.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/DCMotor/Motor_huge_degree_values.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/DCMotor/Motor_huge_degree_values.cpp,"#include <Arduino.h>
#include ""SMotorPair.h""

SMotorPair motors(1, 2);
void setup() {
  motors.begin();
  motors.move_degrees(0, 50, 100000);
}
void loop() {}
",True,dcmotor error,Motor huge degree values error
Motor_move_Zero_time.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/DCMotor/Motor_move_Zero_time.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/DCMotor/Motor_move_Zero_time.cpp,"#include <Arduino.h>
#include ""SMotorPair.h""

SMotorPair motors(1, 2);
void setup() {
  motors.begin();
  motors.move_time(0, 50, 0); 
}
void loop() {}
",True,dcmotor error,Motor move Zero time error
Motor_negative_rotations.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/DCMotor/Motor_negative_rotations.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/DCMotor/Motor_negative_rotations.cpp,"#include <Arduino.h>
#include ""SMotorPair.h""

SMotorPair motors(1, 2);
void setup() {
  motors.begin();
  
}
void loop() {
  motors.move_rotations(0, 50, -1.0);
}
",True,dcmotor error,Motor negative rotations error
Motor_never_stop.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/DCMotor/Motor_never_stop.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/DCMotor/Motor_never_stop.cpp,"#include <Arduino.h>
#include ""SMotorPair.h""

SMotorPair motors(1, 2);
void setup() {
  motors.begin();
  motors.run(0, 50);
  delay(2000);
  
}
void loop() {}
",True,dcmotor error,Motor never stop error
Motor_no_delay_in_speed_change.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/DCMotor/Motor_no_delay_in_speed_change.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/DCMotor/Motor_no_delay_in_speed_change.cpp,"#include <Arduino.h>
#include <SMotor2.h>
// MISTAKE 118
// Speed changes too frequently
SMotor2 motor(1);
void setup() { motor.begin(); }
void loop() {
  motor.run_motor(30);
  motor.run_motor(60);
  motor.run_motor(90); //No delay between changes!
}
",True,dcmotor error,Motor no delay in speed change error
Motor_parameters_swapped.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/DCMotor/Motor_parameters_swapped.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/DCMotor/Motor_parameters_swapped.cpp,"#include <Arduino.h>
#include ""SMotorPair.h""

SMotorPair motors(1, 2);
void setup() {
  motors.begin();
  motors.move_time(50, 2.0, 0); // Parameters swapped!
}
void loop() {}
",True,dcmotor error,Motor parameters swapped error
Motor_stop_after_run.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/DCMotor/Motor_stop_after_run.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/DCMotor/Motor_stop_after_run.cpp,"#include <Arduino.h>
#include <SMotorPair.h>

SMotorPair motors(1, 2);
void setup() {
  motors.begin();
  motors.run(0, 50);
  motors.stop_motors(); // Stops immediately!
}
void loop() {}
",True,dcmotor error,Motor stop after run error
Motor_too_many_decimal_points.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/DCMotor/Motor_too_many_decimal_points.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/DCMotor/Motor_too_many_decimal_points.cpp,"#include <Arduino.h>
#include <SMotorPair.h>

SMotorPair motors(1, 2);
void setup() {
  motors.begin();
  motors.move_time(0, 50, 2.5555555);
}
void loop() {}
",True,dcmotor error,Motor too many decimal points error
Motor_uninitialized_speed.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/DCMotor/Motor_uninitialized_speed.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/DCMotor/Motor_uninitialized_speed.cpp,"#include <Arduino.h>
#include <SMotor2.h>

SMotor2 motors(2);
int speed;
void setup() {
  motors.begin();
  motors.run_motor(speed); // Uninitialized speed!
}
void loop() {}
",True,dcmotor error,Motor uninitialized speed error
Motor_unreachable_code.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/DCMotor/Motor_unreachable_code.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/DCMotor/Motor_unreachable_code.cpp,"#include <Arduino.h>
#include ""SMotorPair.h""

SMotorPair motors(1, 2);
void setup() {
  motors.begin();
  while(1) { motors.run(0, 50); }
  motors.stop_motors(); 
}
void loop() {}
",True,dcmotor error,Motor unreachable error
Motor_zero_speed.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/DCMotor/Motor_zero_speed.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/DCMotor/Motor_zero_speed.cpp,"#include <Arduino.h>
#include ""SMotorPair.h""

SMotorPair motors(1, 2);
void setup() {
  motors.begin();
  motors.run(0, 0); 
}
void loop() {}
",True,dcmotor error,Motor zero speed error
Motors_wrong_delay.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/DCMotor/Motors_wrong_delay.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/DCMotor/Motors_wrong_delay.cpp,"#include <Arduino.h>
#include ""SMotorPair.h""

SMotorPair motors(1, 2);
void setup() { motors.begin(); }
void loop() {
  motors.run(0, 50);
  delay(5000); 
}
",True,dcmotor error,Motors wrong delay error
Wrongport.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/DCMotor/Wrongport.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/DCMotor/Wrongport.cpp,"#include <Arduino.h>
#include ""SMotor2.h""
#include ""ZebraServo.h""
// Create servo on port 3 and motor on port 1
ZebraServo myServo(3);
SMotor2 motor(8);

void setup() {
  Serial.begin(115200);
  delay(1000); // Give serial time to initialize

  Serial.println(""Initializing motor and servo..."");

  // Initialize motor first, then servo
  motor.begin();
  myServo.begin();

  Serial.println(""Initialization complete!"");
  // color.begin();
  delay(500);
}

void loop() {
  // Move servo to 60 degrees
  Serial.println(""Servo -> 60°"");
  myServo.run_angles(60);

  // Move motor forward
  Serial.println(""Motor -> Forward 1000 degrees"");
  motor.move_degrees(1000, 50);
  delay(500);
  Serial.println(""Done!"");
}
",False,no error,No labeled error
inconsistantMotorValues.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/DCMotor/inconsistantMotorValues.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/DCMotor/inconsistantMotorValues.cpp,"// write your code here
#include ""Arduino.h""
#include ""SMotor2.h""

SMotor2 motor(2);

void setup(){
    motor.begin();
}

void loop(){
    motor.move_degrees(2000,-6);
    delay(1000);
    motor.move_degrees(200,60);
    delay(1000);
}
",False,no error,No labeled error
inconsistantMotorValues_solution.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/DCMotor/inconsistantMotorValues_solution.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/DCMotor/inconsistantMotorValues_solution.cpp,"// write your code here
#include ""Arduino.h""
#include ""SMotor2.h""

SMotor2 motor(2);

void setup(){
    motor.begin();
}

void loop(){
    motor.move_degrees(2000,-60);
    delay(1000);
    motor.move_degrees(200,60);
    delay(1000);
}
",False,no error,No labeled error
motor_Invalid_speed.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/DCMotor/motor_Invalid_speed.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/DCMotor/motor_Invalid_speed.cpp,"#include <Arduino.h>
#include ""SMotorPair.h""

SMotorPair motors(1, 2);
void setup() {
  motors.begin();
  motors.move_time(0, -200, 2.0); 
}
void loop() {}
",True,dcmotor error,motor Invalid speed error
motor_Invalid_steer.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/DCMotor/motor_Invalid_steer.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/DCMotor/motor_Invalid_steer.cpp,"#include <Arduino.h>
#include ""SMotorPair.h""

SMotorPair motors(1, 2);
void setup() {
  motors.begin();
  motors.run(200, 50); 
}
void loop() {}
",True,dcmotor error,motor Invalid steer error
motor_Wrong_speed.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/DCMotor/motor_Wrong_speed.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/DCMotor/motor_Wrong_speed.cpp,"#include <Arduino.h>
#include <SMotorPair.h>

SMotorPair motors(1, 2);
void setup() {
  motors.begin();
  motors.run(0, 100); 
}
void loop() {}
",True,dcmotor error,motor Wrong speed error
motor_too_many_rotations.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/DCMotor/motor_too_many_rotations.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/DCMotor/motor_too_many_rotations.cpp,"#include <Arduino.h>
#include ""SMotorPair.h""

SMotorPair motors(1, 2);
void setup() {
  motors.begin();
 
}
void loop() {
    motors.move_rotations(0, 50, 610);
}
",True,dcmotor error,motor too many rotations error
motor_veryless_degrees.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/DCMotor/motor_veryless_degrees.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/DCMotor/motor_veryless_degrees.cpp,"#include <Arduino.h>
#include ""SMotorPair.h""

SMotorPair motors(1, 2);
void setup() {
  motors.begin();
}
void loop() {
  motors.move_degrees(0, 50, 20); 
}
",True,dcmotor error,motor veryless degrees error
notUsingStop.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/DCMotor/notUsingStop.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/DCMotor/notUsingStop.cpp,"// Note: partial code shown — see full context in corresponding image
void loop() {
    int distance = sensor.readDistance();


    if (distance < 300) {
        Serial.println(""Going forward"");

    }
    else {
        Serial.println(""Stopping"");
        motor.run_motor(60);
    }

    delay(100);
}
",False,no error,No labeled error
notUsingStop_solution.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/DCMotor/notUsingStop_solution.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/DCMotor/notUsingStop_solution.cpp,"// Note: partial code shown — see full context in corresponding image
    if (distance < 300) {
        Serial.println(""Going forward"");
        motor.stop_motor();
    }
    else {
        Serial.println(""Stopping"");
        motor.run_motor(60);
    }

    delay(100);
}
",False,no error,No labeled error
wrongportMotor_solution.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/DCMotor/wrongportMotor_solution.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/DCMotor/wrongportMotor_solution.cpp,"#include <Arduino.h>
#include ""SMotor2.h""
#include ""ZebraServo.h""
// Create servo on port 3 and motor on port 1
ZebraServo myServo(3);
SMotor2 motor(1);

void setup() {
  Serial.begin(115200);
  delay(1000); // Give serial time to initialize

  Serial.println(""Initializing motor and servo..."");

  // Initialize motor first, then servo
  motor.begin();
  myServo.begin();

  Serial.println(""Initialization complete!"");
  // color.begin();
  delay(500);
}

void loop() {
  // Move servo to 60 degrees
  Serial.println(""Servo -> 60°"");
  myServo.run_angles(60);

  // Move motor forward
  Serial.println(""Motor -> Forward 1000 degrees"");
  motor.move_degrees(1000, 50);
  delay(500);
  Serial.println(""Done!"");
}
",False,no error,No labeled error
