filename,abs_path,relative_path,code_content,has_error_label,label,error_description
TOF_notCalling_readDistance.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Distance sensor/TOF_notCalling_readDistance.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Distance sensor/TOF_notCalling_readDistance.cpp,"#include <Arduino.h>
#include <ZebraTOF.h>

ZebraTOF tof(2);
int dist;
void setup() { 
  Wire.begin();
  Serial.begin(115200);
  tof.begin(); }
void loop() {
  
  if(dist < 100) { 
    Serial.println(""stop"");
   }
}
",True,distance sensor error,TOF notCalling readDistance error
TOF_reading_before_begin.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Distance sensor/TOF_reading_before_begin.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Distance sensor/TOF_reading_before_begin.cpp,"#include <Arduino.h>
#include <ZebraTOF.h>
// MISTAKE 127
// Reading before begin()
ZebraTOF tof(2);
void setup() {
  Wire.begin();
  int d = tof.readDistance(); // Before begin()!
  tof.begin();
}
void loop() {}
",True,distance sensor error,TOF reading before begin error
TOF_reading_without_storing.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Distance sensor/TOF_reading_without_storing.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Distance sensor/TOF_reading_without_storing.cpp,"#include <Arduino.h>
#include <ZebraTOF.h>

ZebraTOF tof(2);
void setup() {
  Wire.begin();
  tof.begin();
}
void loop() {
  tof.readDistance(); // Result ignored!
  delay(100);
}
",True,distance sensor error,TOF reading without storing error
TOF_tinyDistance.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Distance sensor/TOF_tinyDistance.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Distance sensor/TOF_tinyDistance.cpp,"#include <Arduino.h>
#include <ZebraTOF.h>

ZebraTOF tof(2);
void setup() { 
  Serial.begin(115200);
  Wire.begin(); 
  tof.begin(); 

}
void loop() {
  int d = tof.readDistance();
  if(d < 10) {   // 10mm is tiny! Should be 100+
    Serial.println(""STOP"")
  } 
}
",True,distance sensor error,TOF tinyDistance error
sensorMultipleRead.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Distance sensor/sensorMultipleRead.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Distance sensor/sensorMultipleRead.cpp,"// Note: partial code shown — see full context in corresponding image
// ---------------------- LOOP ----------------------
void loop() {
    int start = millis(); // Record loop start time

    // Read distances (limit between 0-1200 mm)
    rightdist = constrain(right.readDistance1(), 0, 1200);
    leftdist  = constrain(left.readDistance1(), 0, 1200);
    frontdist = constrain(front.readDistance1(), 0, 1200);

    // Update gyro orientation
    gyro.update();
    yaw = gyro.getYaw();

    // Movement logic depending on number of turns
    if (count >= 1 && count < 12) {
    // If already turned at least once but less than 12 times
      if (side == 1) {
        rightdist = constrain(right.readDistance1(), 0, 1200);
        rforwardwall(yaw, rightdist); // Follow right wall
      } else {
        leftdist  = constrain(left.readDistance1(), 0, 1200);
        lforwardwall(yaw, leftdist); // Follow left wall
      }
",False,no error,No labeled error
sensorMultipleRead_solution.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Distance sensor/sensorMultipleRead_solution.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Distance sensor/sensorMultipleRead_solution.cpp,"// Note: partial code shown — see full context in corresponding image
void loop() {
    int start = millis(); // Record loop start time

    // Read distances (limit between 0-1200 mm)
    rightdist = constrain(right.readDistance1(), 0, 1200);
    leftdist  = constrain(left.readDistance1(), 0, 1200);
    frontdist = constrain(front.readDistance1(), 0, 1200);

    // Update gyro orientation
    gyro.update();
    yaw = gyro.getYaw();

    // Movement logic depending on number of turns
    if (count >= 1 && count < 12) {
    // If already turned at least once but less than 12 times
      if (side == 1) {
        rforwardwall(yaw, rightdist); // Follow right wall
      } else {
        lforwardwall(yaw, leftdist); // Follow left wall
      }
",False,no error,No labeled error
GyroNotUpdate.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Gyro/GyroNotUpdate.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Gyro/GyroNotUpdate.cpp,"#include <Arduino.h>
#include <ZebraGyro.h>

ZebraGyro gyro(7, 2);  // Port 0, interrupt pin 2

void setup() {
    Serial.begin(115200);
    delay(2000);
    Serial.println(""Starting ZebraGyro..."");
    gyro.begin();
}

void loop() {

    Serial.print(""Yaw: "");
    Serial.println(gyro.getYaw());
    delay(500);
}
",False,no error,No labeled error
GyroNotUpdate_Solution.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Gyro/GyroNotUpdate_Solution.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Gyro/GyroNotUpdate_Solution.cpp,"#include <Arduino.h>
#include <ZebraGyro.h>

ZebraGyro gyro(7, 2);  // Port 0, interrupt pin 2

void setup() {
    Serial.begin(115200);
    delay(2000);
    Serial.println(""Starting ZebraGyro..."");
    gyro.begin();
}

void loop() {
    gyro.update();
    Serial.print(""Yaw: "");
    Serial.println(gyro.getYaw());
    delay(500);
}
",False,no error,No labeled error
Gyro_read_without_begin.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Gyro/Gyro_read_without_begin.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Gyro/Gyro_read_without_begin.cpp,"#include <Arduino.h>
#include <ZebraGyro.h>
// MISTAKE 131
// Reading yaw without begin()
ZebraGyro gyro(4, 2);
void setup() {
  Wire.begin();
  float yaw = gyro.getYaw(); // Before begin()!
}
void loop() {}
",True,gyro error,Gyro read without begin error
gyroWrongPort.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Gyro/gyroWrongPort.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Gyro/gyroWrongPort.cpp,"#include <Arduino.h>
#include <ZebraGyro.h>

ZebraGyro gyro(5, 2);

void setup() {
    Serial.begin(115200);
    delay(2000);
    Serial.println(""Starting ZebraGyro..."");
    gyro.begin();
}

void loop() {
    gyro.update();
    Serial.print(""Yaw: "");
    Serial.println(gyro.getYaw());
    delay(500);
}
",False,no error,No labeled error
gyroWrongPort_solution.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Gyro/gyroWrongPort_solution.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Gyro/gyroWrongPort_solution.cpp,"#include <Arduino.h>
#include <ZebraGyro.h>

ZebraGyro gyro(7, 2);

void setup() {
    Serial.begin(115200);
    delay(2000);
    Serial.println(""Starting ZebraGyro..."");
    gyro.begin();
}

void loop() {
    gyro.update();
    Serial.print(""Yaw: "");
    Serial.println(gyro.getYaw());
    delay(500);
}
",False,no error,No labeled error
gyro_compare_without_tolerance.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Gyro/gyro_compare_without_tolerance.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Gyro/gyro_compare_without_tolerance.cpp,"#include <Arduino.h>
#include <ZebraGyro.h>


ZebraGyro gyro(4, 2);
void setup() {
  Wire.begin();
  gyro.begin();
  gyro.resetYaw();
}
void loop() {
  gyro.update();
  if(gyro.getYaw() == 90.0) {} // Exact match unlikely!
}
",True,gyro error,gyro compare without tolerance error
gyro_missing_resetYaw.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Gyro/gyro_missing_resetYaw.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Gyro/gyro_missing_resetYaw.cpp,"#include <Arduino.h>
#include <ZebraGyro.h>

ZebraGyro gyro(7, 2);
void setup() {
  Wire.begin();
  gyro.begin();
 
  while(gyro.getYaw() < 90) {
    // statements
  }
}
void loop() {}
",True,gyro error,gyro missing resetYaw error
gyro_reset_yaw_in_loop.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Gyro/gyro_reset_yaw_in_loop.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Gyro/gyro_reset_yaw_in_loop.cpp,"#include <Arduino.h>
#include <ZebraGyro.h>

ZebraGyro gyro(4, 2);
void setup() {
  Wire.begin();
  gyro.begin();
}
void loop() {
  gyro.resetYaw(); // Resets every loop!
  float yaw = gyro.getYaw();
}
",True,gyro error,gyro reset yaw in loop error
Not_Including_library.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Library/Not_Including_library.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Library/Not_Including_library.cpp,"// write your code here
SMotor2 motor(2);

void setup(){
    motor.begin();
}

void loop(){
    motor.move_degrees(500,-60);
    delay(1000);
    motor.move_degrees(500,60);
    delay(1000);
}
",False,no error,No labeled error
Not_Including_library_solution.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Library/Not_Including_library_solution.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Library/Not_Including_library_solution.cpp,"#include ""Arduino.h""
#include ""SMotor2.h""

SMotor2 motor(2);

void setup(){
    motor.begin();
}

void loop(){
    motor.move_degrees(500,-60);
    delay(1000);
    motor.move_degrees(500,60);
    delay(1000);
}
",False,no error,No labeled error
WrongSpellingofLibrary.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Library/WrongSpellingofLibrary.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Library/WrongSpellingofLibrary.cpp,"// write your code here
#include ""Arduino.h""
#include ""SMotar2.h""

SMotor2 motor(2);

void setup(){
    motor.begin();
}

void loop(){
    motor.move_degrees(500,-60);
    delay(1000);
    motor.move_degrees(500,60);
    delay(1000);
}
",False,no error,No labeled error
multipleDeviceOnPort.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Library/multipleDeviceOnPort.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Library/multipleDeviceOnPort.cpp,"// Note: partial code shown — see full context in corresponding image
#include <Arduino.h>
#include <ZebraGyro.h>
#include ""SMotor2.h""
#include ""ZebraServo.h""
#include ""ZebraColour.h""
#include ""ZebraTOF.h""

ZebraGyro gyro(7, 2);  // Port 7, interrupt pin 2
ZebraTOF distanceSensor(1);
SMotor2 motor(2);
SMotor2 motor2(2);
ZebraServo servo(1);
ZebraColour colorsensor(1);
",False,no error,No labeled error
multipleDeviceOnPort_solution.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Library/multipleDeviceOnPort_solution.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Library/multipleDeviceOnPort_solution.cpp,"// Note: partial code shown — see full context in corresponding image
#include <Arduino.h>
#include <ZebraGyro.h>
#include ""SMotor2.h""
#include ""ZebraServo.h""
#include ""ZebraColour.h""
#include ""ZebraTOF.h""

ZebraGyro gyro(7, 2);  // Port 7, interrupt pin 2
ZebraTOF distanceSensor(2);
SMotor2 motor(2);
SMotor2 motor2(3);
ZebraServo servo(1);
ZebraColour colorsensor(1);
",False,no error,No labeled error
SameLineWriting.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Screen/SameLineWriting.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Screen/SameLineWriting.cpp,"// Note: partial code shown — see full context in corresponding image
void loop() {
    static int counter = 0;
    screen.clear();
    // Update line 1 with counter value
    screen.writeLine(3, ""This is a counter"");
    screen.writeLine(3, ""Counter: "" + String(counter));
    counter++;
    delay(1000);
}
",False,no error,No labeled error
clearAtWrongPlace.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Screen/clearAtWrongPlace.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Screen/clearAtWrongPlace.cpp,"// Note: partial code shown — see full context in corresponding image
void loop() {
    static int counter = 0;

    // Update line 1 with counter value
    screen.writeLine(3, ""Counter: "" + String(counter));

    counter++;
    screen.clear();
    delay(1000);
}
",False,no error,No labeled error
clearAtWrongPlace_solution.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Screen/clearAtWrongPlace_solution.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Screen/clearAtWrongPlace_solution.cpp,"// Note: partial code shown — see full context in corresponding image
void loop() {
    static int counter = 0;
    screen.clear();
    // Update line 1 with counter value
    screen.writeLine(3, ""Counter: "" + String(counter));
    counter++;
    delay(1000);
}
",False,no error,No labeled error
screen_overlapping.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Screen/screen_overlapping.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Screen/screen_overlapping.cpp,"#include <Arduino.h>
#include <ZebraScreen.h>

ZebraScreen screen(0);
void setup() {
  Wire.begin();
  screen.begin();
  screen.write(""Line1"");
  screen.write(""Line2""); // Overlaps!
}
void loop() {}
",True,screen error,screen overlapping error
screen_using_long_text.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Screen/screen_using_long_text.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Screen/screen_using_long_text.cpp,"#include <Arduino.h>
#include <ZebraScreen.h>

ZebraScreen screen(0);
void setup() {
  Wire.begin();
  screen.begin();
  screen.write(""This is a very long text that won't fit"");
}
void loop() {}
",True,screen error,screen using long text error
screen_writing_without_clearing.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Screen/screen_writing_without_clearing.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Screen/screen_writing_without_clearing.cpp,"#include <Arduino.h>
#include <ZebraScreen.h>

ZebraScreen screen(0);
void setup() {
  Wire.begin();
  screen.begin();
}
void loop() {
  screen.write(""Test""); // Overlaps previous!
  delay(1000);
}
",True,screen error,screen writing without clearing error
screen_wrong_line.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Screen/screen_wrong_line.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Screen/screen_wrong_line.cpp,"#include <Arduino.h>
#include <ZebraScreen.h>

ZebraScreen screen(0);
void setup() {
  Wire.begin();
  screen.begin();
  screen.writeLine(10, ""Text""); // Line 10 doesn't exist!
}
void loop() {}
",True,screen error,screen wrong line error
wrongportscreen.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Screen/wrongportscreen.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Screen/wrongportscreen.cpp,"#include <Arduino.h>
#include <ZebraScreen.h>

// Screen is connected through I2C multiplexer at port 1
ZebraScreen screen(5);

void setup() {
  Serial.begin(115200);
  Serial.println(""Initializing ZebraScreen..."");

  // Initialize the OLED
  screen.begin();

  // Show startup message
  screen.write(""Hello Zebra!"");
  delay(2000);

  // Clear and prepare
  screen.clear();
  screen.writeLine(2, ""ZebraScreen Test"");
}
",False,no error,No labeled error
wrongportscreen_solution.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Screen/wrongportscreen_solution.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Screen/wrongportscreen_solution.cpp,"#include <Arduino.h>
#include <ZebraScreen.h>

// Screen is connected through I2C multiplexer at port 0
ZebraScreen screen(0);

void setup() {
  Serial.begin(115200);
  Serial.println(""Initializing ZebraScreen..."");

  // Initialize the OLED
  screen.begin();

  // Show startup message
  screen.write(""Hello Zebra!"");
  delay(2000);

  // Clear and prepare
  screen.clear();
  screen.writeLine(2, ""ZebraScreen Test"");
}
",False,no error,No labeled error
WrongServoAngleValue.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Servo/WrongServoAngleValue.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Servo/WrongServoAngleValue.cpp,"// Note: partial code shown — see full context in corresponding image
void loop() {
  // Move servo to 60 degrees
  Serial.println(""Servo -> 60°"");
  myServo.run_angles(600);

  // Move motor forward
  Serial.println(""Motor -> Forward 1000 degrees"");
  motor.move_degrees(1000, 50);
  delay(500);
  Serial.println(""Done!"");
}
",False,no error,No labeled error
WrongServoAngleValue_solution.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Servo/WrongServoAngleValue_solution.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/Servo/WrongServoAngleValue_solution.cpp,"// Note: partial code shown — see full context in corresponding image
void loop() {
  // Move servo to 60 degrees
  Serial.println(""Servo -> 60°"");
  myServo.run_angles(60);

  // Move motor forward
  Serial.println(""Motor -> Forward 1000 degrees"");
  motor.move_degrees(1000, 50);
  delay(500);
  Serial.println(""Done!"");
}
",False,no error,No labeled error
NotUsingForLoop.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/huskylens/NotUsingForLoop.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/huskylens/NotUsingForLoop.cpp,"// Note: partial code shown — see full context in corresponding image
    int i, id, x, y, w, h;
    i = 0;
    if (husky.getObject(i, id, x, y, w, h)) {
      Serial.print(""Object #"");
      Serial.print(i + 1);
      Serial.print("" - Color ID: "");
      Serial.print(id);
      Serial.print("", X: "");
      Serial.print(x);
      Serial.print("", Y: "");
      Serial.print(y);
      Serial.print("", Width: "");
      Serial.print(w);
      Serial.print("", Height: "");
      Serial.println(h);
    }


    Serial.println(""========================================\n"");

  } else {
    Serial.println(""Failed to get data from HuskyLens"");
  }

}
",False,no error,No labeled error
NotUsingForLoop_solution.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/huskylens/NotUsingForLoop_solution.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/huskylens/NotUsingForLoop_solution.cpp,"// Note: partial code shown — see full context in corresponding image
    // Loop through ALL detected objects
    for (int i = 0; i < totalObjects; i++) {
      int id, x, y, w, h;

      if (husky.getObject(i, id, x, y, w, h)) {
        Serial.print(""Object #"");
        Serial.print(i + 1);
        Serial.print("" - Color ID: "");
        Serial.print(id);
        Serial.print("", X: "");
        Serial.print(x);
        Serial.print("", Y: "");
        Serial.print(y);
        Serial.print("", Width: "");
        Serial.print(w);
        Serial.print("", Height: "");
        Serial.println(h);
      }
    }

    Serial.println(""========================================\n"");

  } else {
    Serial.println(""Failed to get data from HuskyLens"");
  }

}
",False,no error,No labeled error
usingUnnecessaryDelay.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/huskylens/usingUnnecessaryDelay.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/huskylens/usingUnnecessaryDelay.cpp,"// Note: partial code shown — see full context in corresponding image
    // Loop through ALL detected objects
    for (int i = 0; i < totalObjects; i++) {
      int id, x, y, w, h;

      if (husky.getObject(i, id, x, y, w, h)) {
        Serial.print(""Object #"");
        Serial.print(i + 1);
        Serial.print("" - Color ID: "");
        Serial.print(id);
        Serial.print("", X: "");
        Serial.print(x);
        Serial.print("", Y: "");
        Serial.print(y);
        Serial.print("", Width: "");
        Serial.print(w);
        Serial.print("", Height: "");
        Serial.println(h);
        delay(1000);
      }
    }

    Serial.println(""========================================\n"");

  } else {
    Serial.println(""Failed to get data from HuskyLens"");
  }

  delay(2000); // Update every 500ms

}
",False,no error,No labeled error
usingUnnecessaryDelay2.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/huskylens/usingUnnecessaryDelay2.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/huskylens/usingUnnecessaryDelay2.cpp,"// Note: partial code shown — see full context in corresponding image
    // Loop through ALL detected objects
    for (int i = 0; i < totalObjects; i++) {
      int id, x, y, w, h;

      if (husky.getObject(i, id, x, y, w, h)) {
        Serial.print(""Object #"");
        Serial.print(i + 1);
        Serial.print("" - Color ID: "");
        Serial.print(id);
        Serial.print("", X: "");
        Serial.print(x);
        Serial.print("", Y: "");
        Serial.print(y);
        Serial.print("", Width: "");
        Serial.print(w);
        Serial.print("", Height: "");
        Serial.println(h);
      }
    }

    Serial.println(""========================================\n"");

  } else {
    Serial.println(""Failed to get data from HuskyLens"");
  }

  delay(2000); // Update every 500ms

}
",False,no error,No labeled error
usingWrongPins.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/huskylens/usingWrongPins.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/huskylens/usingWrongPins.cpp,"// Note: partial code shown — see full context in corresponding image
#include <Arduino.h>
#include ""ZebraHuskyLens.h""

ZebraHuskyLens husky(15, 6);

void setup() {
  if (!husky.begin()) {
    Serial.println(""Failed to initialize HuskyLens!"");
    while(1);
  }
  Serial.println(""HuskyLens Ready - Detecting All Objects"");
}

void loop() {
  if (husky.update()) {

    if (!husky.isLearned()) {
      Serial.println(""Nothing learned yet!"");
      delay(1000);
      return;
    }

    if (!husky.isDetected()) {
      Serial.println(""No objects detected"");
      delay(500);
      return;
    }
",False,no error,No labeled error
usingWrongPins_solution.cpp,/Users/fereshteh/Zebra_AI/HintGenerator/AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/huskylens/usingWrongPins_solution.cpp,AI Pilot/Vector_AI/SDV (C++)/Vector Institute Images/huskylens/usingWrongPins_solution.cpp,"// Note: partial code shown — see full context in corresponding image
#include <Arduino.h>
#include ""ZebraHuskyLens.h""

ZebraHuskyLens husky(5, 19);

void setup() {
  if (!husky.begin()) {
    Serial.println(""Failed to initialize HuskyLens!"");
    while(1);
  }
  Serial.println(""HuskyLens Ready - Detecting All Objects"");
}

void loop() {
  if (husky.update()) {

    if (!husky.isLearned()) {
      Serial.println(""Nothing learned yet!"");
      delay(1000);
      return;
    }

    if (!husky.isDetected()) {
      Serial.println(""No objects detected"");
      delay(500);
      return;
    }
",False,no error,No labeled error
